WARNING: Could not remove empty redirect log 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_7_full_wrapper_20260826_225716.stderr.log': Exception 
calling "Delete" with "1" argument(s): "The process cannot access the file 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_7_full_wrapper_20260826_225716.stderr.log' because it is 
being used by another process."
WARNING: Could not remove empty redirect log 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_7_full_wrapper_20260826_225716.stdout.log': Exception 
calling "Delete" with "1" argument(s): "The process cannot access the file 
'D:\UIT\KLTN\runtime\ministral3_8b_challenger\logs\event_v3_7_full_wrapper_20260826_225716.stdout.log' because it is 
being used by another process."
FULL_EXTRACTION_START pid=31588 records=0
THERMAL gpu_temp_c=56 records=0 errors=0
THERMAL gpu_temp_c=57 records=0 errors=0
THERMAL gpu_temp_c=58 records=0 errors=0
THERMAL gpu_temp_c=59 records=0 errors=0
THERMAL gpu_temp_c=60 records=0 errors=0
THERMAL gpu_temp_c=61 records=0 errors=0
THERMAL gpu_temp_c=61 records=0 errors=0
THERMAL gpu_temp_c=62 records=0 errors=0
THERMAL gpu_temp_c=63 records=0 errors=0
THERMAL gpu_temp_c=63 records=0 errors=0
THERMAL gpu_temp_c=63 records=0 errors=0
THERMAL gpu_temp_c=63 records=4 errors=0
THERMAL gpu_temp_c=61 records=4 errors=0
THERMAL gpu_temp_c=65 records=4 errors=0
THERMAL gpu_temp_c=63 records=4 errors=0
THERMAL gpu_temp_c=64 records=4 errors=0
THERMAL gpu_temp_c=64 records=4 errors=0
THERMAL gpu_temp_c=64 records=4 errors=0
THERMAL gpu_temp_c=64 records=4 errors=0
THERMAL gpu_temp_c=65 records=4 errors=0
THERMAL gpu_temp_c=65 records=4 errors=0
THERMAL gpu_temp_c=65 records=4 errors=0
THERMAL gpu_temp_c=66 records=4 errors=0
THERMAL gpu_temp_c=65 records=8 errors=0
THERMAL gpu_temp_c=63 records=8 errors=0
THERMAL gpu_temp_c=68 records=8 errors=0
THERMAL gpu_temp_c=64 records=8 errors=0
THERMAL gpu_temp_c=64 records=8 errors=0
